measure,location,sex,age,cause,metric,year, DALYs ,upper,lower
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Neonatal disorders,Number,2019," 888,979 ",1073343.919,740430.1878
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Diarrheal diseases,Number,2019," 424,713 ",640541.7293,251327.6114
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Malaria,Number,2019," 368,388 ",972097.5633,61308.43228
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Lower respiratory infections,Number,2019," 328,420 ",429316.2817,235959.5439
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Congenital birth defects,Number,2019," 200,700 ",313336.3782,116011.2034
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Stroke,Number,2019," 157,808 ",192233.769,124885.6102
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Ischemic heart disease,Number,2019," 151,410 ",190882.8542,116306.9771
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Tuberculosis,Number,2019," 144,432 ",182198.597,106171.5637
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Dietary iron deficiency,Number,2019," 133,757 ",195023.6022,87422.30621
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Road injuries,Number,2019," 115,017 ",152501.0997,83534.71569
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Maternal disorders,Number,2019," 105,081 ",138237.5712,72417.3731
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Diabetes mellitus,Number,2019," 103,296 ",126934.292,80339.19949
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Meningitis,Number,2019," 95,732 ",127556.5319,68304.74511
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,HIV/AIDS,Number,2019," 85,347 ",115016.1866,65488.52738
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Headache disorders,Number,2019," 82,928 ",185043.5251,14587.20079
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Cirrhosis and other chronic liver diseases,Number,2019," 80,651 ",116197.4116,54887.10078
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Chronic kidney disease,Number,2019," 79,985 ",105450.4076,59364.61243
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Depressive disorders,Number,2019," 79,061 ",110937.2587,53617.87265
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Hemoglobinopathies and hemolytic anemias,Number,2019," 75,392 ",133817.3303,45781.96259
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Low back pain,Number,2019," 73,512 ",98401.8063,51585.30819
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Gynecological diseases,Number,2019," 68,106 ",95466.01292,46505.77493
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Measles,Number,2019," 57,935 ",136627.2609,17371.25264
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Age-related and other hearing loss,Number,2019," 54,334 ",76235.44743,36662.52715
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Chronic obstructive pulmonary disease,Number,2019," 51,815 ",61520.93252,43595.56181
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Self-harm,Number,2019," 46,094 ",61223.15314,31743.55929
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Whooping cough,Number,2019," 44,592 ",137780.4452,4067.143328
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Asthma,Number,2019," 43,109 ",55926.59841,32902.89236
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Idiopathic epilepsy,Number,2019," 42,307 ",68748.19196,21645.01842
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Anxiety disorders,Number,2019," 40,027 ",56482.9031,26270.86692
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Oral disorders,Number,2019," 38,474 ",64428.55926,20845.97429
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,"Endocrine, metabolic, blood, and immune disorders",Number,2019," 34,863 ",46632.92362,25116.99639
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,2019," 30,842 ",52166.11782,15276.00021
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Blindness and vision loss,Number,2019," 30,508 ",42792.05729,21283.78468
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Hypertensive heart disease,Number,2019," 29,120 ",40025.29106,16854.72584
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Upper digestive system diseases,Number,2019," 29,065 ",40031.94523,19593.69247
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Protein-energy malnutrition,Number,2019," 28,644 ",50144.53118,13555.97018
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Other musculoskeletal disorders,Number,2019," 28,514 ",39961.91052,19697.73991
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Cervical cancer,Number,2019," 28,214 ",37989.00476,19676.27772
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Breast cancer,Number,2019," 28,053 ",37361.57865,19361.43903
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Falls,Number,2019," 27,711 ",35337.71565,21314.3095
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Paralytic ileus and intestinal obstruction,Number,2019," 25,528 ",39250.09425,16569.62712
