DETAIL:  "supautils" is now a reserved prefix.
function,title,role_name,role_slug,department_name
Market Access,Chief Market Access Officer - Emerging Markets Focus,Chief Market Access Officer,chief-market-access-officer,Leadership & Strategy
Market Access,Chief Market Access Officer - Large Pharma (Global),Chief Market Access Officer,chief-market-access-officer,Leadership & Strategy
Market Access,Chief Market Access Officer - Mid-Size Pharma (US Focus),Chief Market Access Officer,chief-market-access-officer,Leadership & Strategy
Market Access,Chief Market Access Officer - Specialty/Rare Disease,Chief Market Access Officer,chief-market-access-officer,Leadership & Strategy
Market Access,Contracting Director - Specialty Pharmacy (Expert),Payer Account Manager,payer-payer-account-manager,Payer Relations & Contracting
Market Access,Contracting Director - Specialty Pharmacy (Junior),Payer Account Manager,payer-payer-account-manager,Payer Relations & Contracting
Market Access,Contracting Director - Specialty Pharmacy (Mid),Payer Account Manager,payer-payer-account-manager,Payer Relations & Contracting
Market Access,Evidence Synthesis Lead (Expert),Value & Evidence Director,veo-value-evidence-director,"Value, Evidence & Outcomes (VEO)"
Market Access,Evidence Synthesis Lead (Mid),Value & Evidence Director,veo-value-evidence-director,"Value, Evidence & Outcomes (VEO)"
Market Access,Government Affairs Director - Federal (Expert),Government Relations Director,govt-government-relations-director,Government & Policy Affairs
Market Access,Government Affairs Director - Federal (Mid),Government Relations Director,govt-government-relations-director,Government & Policy Affairs
Market Access,Government Affairs Director - State (Expert),Government Relations Director,govt-government-relations-director,Government & Policy Affairs
Market Access,Government Affairs Director - State (Mid),Government Relations Director,govt-government-relations-director,Government & Policy Affairs
Market Access,Head of Government Affairs - National (Large Pharma),Head of Government Affairs,govt-head-of-government-affairs,Government & Policy Affairs
Market Access,Head of Government Affairs - National (Mid-Size),Head of Government Affairs,govt-head-of-government-affairs,Government & Policy Affairs
Market Access,Head of Government Affairs - National (Specialty),Head of Government Affairs,govt-head-of-government-affairs,Government & Policy Affairs
Market Access,Head of MA Analytics - National (Large Pharma),Head of MA Analytics,analytics-head-of-ma-analytics,Market Access Analytics & Insights
Market Access,Head of MA Analytics - National (Launch Focus),Head of MA Analytics,analytics-head-of-ma-analytics,Market Access Analytics & Insights
Market Access,Head of MA Analytics - National (Mid-Size),Head of MA Analytics,analytics-head-of-ma-analytics,Market Access Analytics & Insights
Market Access,Head of MA Analytics - National (Specialty),Head of MA Analytics,analytics-head-of-ma-analytics,Market Access Analytics & Insights
Market Access,Head of MA Operations - National (Large Pharma),MA Operations Director,operations-ma-operations-director,Market Access Operations & Excellence
Market Access,Head of MA Operations - National (Mid-Size),MA Operations Director,operations-ma-operations-director,Market Access Operations & Excellence
Market Access,Head of MA Operations - National (Specialty),MA Operations Director,operations-ma-operations-director,Market Access Operations & Excellence
Market Access,Head of Patient Access - National (Large Pharma),Head of Patient Access,patient-head-of-patient-access,Patient Access & Services
