DETAIL:  "supautils" is now a reserved prefix.
department_id,department_name,department_slug,role_id,role_name,role_slug,leadership_level,seniority_level,career_level,reports_to,geographic_scope
32d1db30-7c65-4f50-bfbd-a3f55200de83,Regulatory Leadership & Strategy,regulatory-leadership-strategy,09c89b89-c6e7-4852-8c02-6b4d714891ff,Chief Regulatory Officer,chief-regulatory-officer,L1,executive,10,CEO,global
32d1db30-7c65-4f50-bfbd-a3f55200de83,Regulatory Leadership & Strategy,regulatory-leadership-strategy,3173bdf8-7c0b-4062-9fe5-68563324d398,SVP Regulatory Affairs,svp-regulatory-affairs,L2,executive,9,Chief Regulatory Officer,global
32d1db30-7c65-4f50-bfbd-a3f55200de83,Regulatory Leadership & Strategy,regulatory-leadership-strategy,0510c681-c82e-45b8-9640-c26d79ed0073,Head of Regulatory Operations,head-of-regulatory-operations,L3,director,8,SVP Regulatory Affairs,global
32d1db30-7c65-4f50-bfbd-a3f55200de83,Regulatory Leadership & Strategy,regulatory-leadership-strategy,e62d17a4-3958-4345-8abf-b4011530e850,VP Regulatory Strategy,vp-regulatory-strategy,L3,director,8,SVP Regulatory Affairs,global
05c8b764-7e51-46be-b93a-af97ed3224dc,Regulatory Submissions & Operations,regulatory-submissions-operations,e87998af-f06a-471a-afab-a0e4f6d7dc89,VP Regulatory Submissions,vp-regulatory-submissions,L3,director,8,SVP Regulatory Affairs,global
05c8b764-7e51-46be-b93a-af97ed3224dc,Regulatory Submissions & Operations,regulatory-submissions-operations,f8d0ace0-f82e-4711-beb2-ec88290254b5,Regulatory Submissions Director,regulatory-submissions-director,L4,director,7,VP Regulatory Submissions,regional
05c8b764-7e51-46be-b93a-af97ed3224dc,Regulatory Submissions & Operations,regulatory-submissions-operations,825420d4-f135-4921-bdec-cf39fc1fa72c,Regulatory Publishing Manager,regulatory-publishing-manager,L5,senior,6,VP Regulatory Submissions,global
05c8b764-7e51-46be-b93a-af97ed3224dc,Regulatory Submissions & Operations,regulatory-submissions-operations,6b4106e8-77f2-448f-adc8-ac637cfa872e,Regulatory Submissions Manager,regulatory-submissions-manager,L5,senior,6,Regulatory Submissions Director,product
05c8b764-7e51-46be-b93a-af97ed3224dc,Regulatory Submissions & Operations,regulatory-submissions-operations,4e64e27c-ecf4-4b8b-91bd-0ba48a787d87,Senior Regulatory Submissions Manager,senior-regulatory-submissions-manager,L5,senior,6,Regulatory Submissions Director,product
05c8b764-7e51-46be-b93a-af97ed3224dc,Regulatory Submissions & Operations,regulatory-submissions-operations,28fa3d28-2599-4f0f-98f0-e0a813cb9911,Senior Regulatory Writer,senior-regulatory-writer,L6,senior,5,Regulatory Submissions Manager,product
05c8b764-7e51-46be-b93a-af97ed3224dc,Regulatory Submissions & Operations,regulatory-submissions-operations,b6245ce6-1891-46cf-9c43-e9029c7615f0,Regulatory Document Specialist,regulatory-document-specialist,L6,mid-level,4,Regulatory Publishing Manager,centralized
05c8b764-7e51-46be-b93a-af97ed3224dc,Regulatory Submissions & Operations,regulatory-submissions-operations,f0c696d1-a7e4-4305-8437-8e35b8898149,Regulatory Writer,regulatory-writer,L6,mid-level,4,Regulatory Submissions Manager,product
05c8b764-7e51-46be-b93a-af97ed3224dc,Regulatory Submissions & Operations,regulatory-submissions-operations,126671c1-f7b0-4ce4-8c2d-28b1d31fde53,Regulatory Coordinator,regulatory-coordinator,L7,entry,3,Regulatory Submissions Manager,centralized
66d136eb-8fe9-47bc-8d83-7ef38b5aecb8,Regulatory Intelligence & Policy,regulatory-intelligence-policy,a0e007e9-1f3d-45a2-a977-4d6a3ec0553f,Regulatory Intelligence Director,regulatory-intelligence-director,L4,director,7,VP Regulatory Strategy,global
66d136eb-8fe9-47bc-8d83-7ef38b5aecb8,Regulatory Intelligence & Policy,regulatory-intelligence-policy,8b311d68-dd7a-41de-ad0b-c0ebd4d1afa0,Regulatory Intelligence Manager,regulatory-intelligence-manager,L5,senior,6,Regulatory Intelligence Director,regional
66d136eb-8fe9-47bc-8d83-7ef38b5aecb8,Regulatory Intelligence & Policy,regulatory-intelligence-policy,2b5fac50-5124-4b58-bafb-a88ec21e1526,Senior Regulatory Intelligence Manager,senior-regulatory-intelligence-manager,L5,senior,6,Regulatory Intelligence Director,global
66d136eb-8fe9-47bc-8d83-7ef38b5aecb8,Regulatory Intelligence & Policy,regulatory-intelligence-policy,90be282d-a270-48c1-856b-7585817c0a3a,Senior Regulatory Policy Analyst,senior-regulatory-policy-analyst,L6,senior,5,Regulatory Intelligence Manager,regional
66d136eb-8fe9-47bc-8d83-7ef38b5aecb8,Regulatory Intelligence & Policy,regulatory-intelligence-policy,3418174e-56fb-45e2-a8d3-3ee249902959,Regulatory Policy Analyst,regulatory-policy-analyst,L6,mid-level,4,Regulatory Intelligence Manager,regional
