Name,Description,Mapped_to_Departments,Mapped_to_Functions,Mapped_to_Responsibilities,Responsibilities,Unique_ID,🏫 Departments,🏫 Functions
Chief Scientific Officer,Leads overall scientific research strategy and R&D vision,DEPT-001,FUNC-001,"RESP-001, RESP-002, RESP-003, RESP-004, RESP-005","Set R&D Strategy (https://www.notion.so/Set-R-D-Strategy-2753dedf98568163ba61eba50e6748f9?pvs=21), Lead Scientific Innovation (https://www.notion.so/Lead-Scientific-Innovation-2753dedf9856814aa5cae3f2640de726?pvs=21), Manage R&D Budget (https://www.notion.so/Manage-R-D-Budget-2753dedf985681749063d64223bebae3?pvs=21), Build Research Partnerships (https://www.notion.so/Build-Research-Partnerships-2753dedf98568174a6a2f46710c32c55?pvs=21), Represent Science Externally (https://www.notion.so/Represent-Science-Externally-2753dedf98568124bb5bc0341e92a188?pvs=21)",ROLE-001,Drug Discovery (https://www.notion.so/Drug-Discovery-2753dedf985681468c74cc7b52177261?pvs=21),Research & Development (https://www.notion.so/Research-Development-2753dedf985681a8a73ae6a753a46224?pvs=21)
Head of Discovery,Manages drug discovery programs and research teams,DEPT-001,FUNC-001,"RESP-006, RESP-007, RESP-008, RESP-009, RESP-010","Manage Discovery Portfolio (https://www.notion.so/Manage-Discovery-Portfolio-2753dedf985681329e2ccac5f158ec2f?pvs=21), Lead Target Selection (https://www.notion.so/Lead-Target-Selection-2753dedf985681d1918ce46e691fd9fb?pvs=21), Optimize Discovery Process (https://www.notion.so/Optimize-Discovery-Process-2753dedf985681289de8ea9bd2b19754?pvs=21), Manage Discovery Teams (https://www.notion.so/Manage-Discovery-Teams-2753dedf985681ec8a28fef9670c0bd6?pvs=21), Review Discovery Data (https://www.notion.so/Review-Discovery-Data-2753dedf985681d5bed2d42983f6b7d2?pvs=21)",ROLE-002,Drug Discovery (https://www.notion.so/Drug-Discovery-2753dedf985681468c74cc7b52177261?pvs=21),Research & Development (https://www.notion.so/Research-Development-2753dedf985681a8a73ae6a753a46224?pvs=21)
Medicinal Chemist,Designs and synthesizes novel drug candidates,DEPT-001,FUNC-001,"RESP-016, RESP-017, RESP-018, RESP-019, RESP-020","Design Drug Molecules (https://www.notion.so/Design-Drug-Molecules-2753dedf985681a285eee53acf4d7830?pvs=21), Synthesize Compounds (https://www.notion.so/Synthesize-Compounds-2753dedf985681609f71c19e82bfc8f3?pvs=21), Optimize Lead Compounds (https://www.notion.so/Optimize-Lead-Compounds-2753dedf9856816d8ff4cda321f504a5?pvs=21), Analyze Structure-Activity (https://www.notion.so/Analyze-Structure-Activity-2753dedf9856815289bdc35f5cb0ef4b?pvs=21), Document Chemistry Work (https://www.notion.so/Document-Chemistry-Work-2753dedf985681ddaa47f9b1d4b8a404?pvs=21)",ROLE-004,Drug Discovery (https://www.notion.so/Drug-Discovery-2753dedf985681468c74cc7b52177261?pvs=21),Research & Development (https://www.notion.so/Research-Development-2753dedf985681a8a73ae6a753a46224?pvs=21)
Principal Scientist,Leads individual research projects and scientific initiatives,DEPT-001,FUNC-001,"RESP-011, RESP-012, RESP-013, RESP-014, RESP-015","Design Research Studies (https://www.notion.so/Design-Research-Studies-2753dedf985681e5a2aee76be611a289?pvs=21), Conduct Experiments (https://www.notion.so/Conduct-Experiments-2753dedf98568113b3d5f3f9a384fa2a?pvs=21), Analyze Research Data (https://www.notion.so/Analyze-Research-Data-2753dedf9856812e8801d5d6b16f714a?pvs=21), Write Scientific Papers (https://www.notion.so/Write-Scientific-Papers-2753dedf9856819c8735d96a9dcd35bd?pvs=21), Present Research Findings (https://www.notion.so/Present-Research-Findings-2753dedf98568157befac36728d1d32b?pvs=21)",ROLE-003,Drug Discovery (https://www.notion.so/Drug-Discovery-2753dedf985681468c74cc7b52177261?pvs=21),Research & Development (https://www.notion.so/Research-Development-2753dedf985681a8a73ae6a753a46224?pvs=21)
Molecular Biologist,Studies molecular mechanisms and drug targets,DEPT-001,FUNC-001,"RESP-021, RESP-022, RESP-023, RESP-024, RESP-025","Study Disease Mechanisms (https://www.notion.so/Study-Disease-Mechanisms-2753dedf9856816d8b72c307b7c95b9a?pvs=21), Validate Drug Targets (https://www.notion.so/Validate-Drug-Targets-2753dedf9856815fb8aae6757a3f32d2?pvs=21), Develop Assays (https://www.notion.so/Develop-Assays-2753dedf985681439723c7b3f1ed99a8?pvs=21), Screen Compounds (https://www.notion.so/Screen-Compounds-2753dedf9856810db599f1eb1675ff1c?pvs=21), Characterize Drug Effects (https://www.notion.so/Characterize-Drug-Effects-2753dedf985681a9b01ac6783f093989?pvs=21)",ROLE-005,Drug Discovery (https://www.notion.so/Drug-Discovery-2753dedf985681468c74cc7b52177261?pvs=21),Research & Development (https://www.notion.so/Research-Development-2753dedf985681a8a73ae6a753a46224?pvs=21)
Toxicologist,Assesses drug safety profiles and toxicity,DEPT-002,FUNC-001,"RESP-031, RESP-032, RESP-033, RESP-034, RESP-035","Design Toxicology Studies (https://www.notion.so/Design-Toxicology-Studies-2753dedf985681ac8730e5c024200a6b?pvs=21), Assess Safety Profiles (https://www.notion.so/Assess-Safety-Profiles-2753dedf98568165824cde788c7f5047?pvs=21), Determine NOAEL (https://www.notion.so/Determine-NOAEL-2753dedf98568132a9f7fb5d9740ee83?pvs=21), Write Toxicology Reports (https://www.notion.so/Write-Toxicology-Reports-2753dedf985681dda286cd27bd6df134?pvs=21), Support Regulatory Submissions (https://www.notion.so/Support-Regulatory-Submissions-2753dedf98568112b317e391395794cf?pvs=21)",ROLE-007,Preclinical Development (https://www.notion.so/Preclinical-Development-2753dedf985681abbf9ae07c57a7bb5e?pvs=21),Research & Development (https://www.notion.so/Research-Development-2753dedf985681a8a73ae6a753a46224?pvs=21)
Head of Preclinical,Oversees all preclinical development activities,DEPT-002,FUNC-001,"RESP-026, RESP-027, RESP-028, RESP-029, RESP-030","Plan Preclinical Studies (https://www.notion.so/Plan-Preclinical-Studies-2753dedf9856818aaa72d47b37f3a119?pvs=21), Manage IND-Enabling Studies (https://www.notion.so/Manage-IND-Enabling-Studies-2753dedf985681e9a53ffed6bbfefb86?pvs=21), Coordinate CROs (https://www.notion.so/Coordinate-CROs-2753dedf9856811b936ec235510dfae6?pvs=21), Review Safety Data (https://www.notion.so/Review-Safety-Data-2753dedf985681cf8f50fa53a8f0bd64?pvs=21), Interface with Clinical (https://www.notion.so/Interface-with-Clinical-2753dedf9856813dad7ac58e3d0a3ce0?pvs=21)",ROLE-006,Preclinical Development (https://www.notion.so/Preclinical-Development-2753dedf985681abbf9ae07c57a7bb5e?pvs=21),Research & Development (https://www.notion.so/Research-Development-2753dedf985681a8a73ae6a753a46224?pvs=21)
DMPK Scientist,Analyzes drug metabolism and pharmacokinetics,DEPT-002,FUNC-001,"RESP-041, RESP-042, RESP-043, RESP-044, RESP-045","Analyze Drug Metabolism (https://www.notion.so/Analyze-Drug-Metabolism-2753dedf9856816d9539ecc54942cb5d?pvs=21), Measure Drug Exposure (https://www.notion.so/Measure-Drug-Exposure-2753dedf985681459457dc4e8e81662f?pvs=21), Assess Bioavailability (https://www.notion.so/Assess-Bioavailability-2753dedf98568170bf63e84e8b80de75?pvs=21), Predict Drug Clearance (https://www.notion.so/Predict-Drug-Clearance-2753dedf985681dfb441d8b8257fc251?pvs=21), Optimize ADME Properties (https://www.notion.so/Optimize-ADME-Properties-2753dedf985681e2a5d8cc471278ae70?pvs=21)",ROLE-009,Preclinical Development (https://www.notion.so/Preclinical-Development-2753dedf985681abbf9ae07c57a7bb5e?pvs=21),Research & Development (https://www.notion.so/Research-Development-2753dedf985681a8a73ae6a753a46224?pvs=21)
Pharmacologist,"Studies drug effects, mechanisms, and interactions",DEPT-002,FUNC-001,"RESP-036, RESP-037, RESP-038, RESP-039, RESP-040","Conduct PK/PD Studies (https://www.notion.so/Conduct-PK-PD-Studies-2753dedf985681d59a4bd893f1b62dea?pvs=21), Evaluate Drug Interactions (https://www.notion.so/Evaluate-Drug-Interactions-2753dedf985681ae84fbc3b38dc80dfe?pvs=21), Model Dose-Response (https://www.notion.so/Model-Dose-Response-2753dedf985681ad8f48d9983b6f196e?pvs=21), Predict Human Doses (https://www.notion.so/Predict-Human-Doses-2753dedf98568157a513c542c4bb1207?pvs=21)",ROLE-008,Preclinical Development (https://www.notion.so/Preclinical-Development-2753dedf985681abbf9ae07c57a7bb5e?pvs=21),Research & Development (https://www.notion.so/Research-Development-2753dedf985681a8a73ae6a753a46224?pvs=21)
Formulation Scientist,Develops early drug formulations and delivery systems,DEPT-002,FUNC-001,"RESP-046, RESP-047, RESP-048, RESP-049, RESP-050","Develop Formulations (https://www.notion.so/Develop-Formulations-2753dedf98568115987ac92d0deab296?pvs=21), Optimize Drug Delivery (https://www.notion.so/Optimize-Drug-Delivery-2753dedf985681cb80e0c82ee1cb8069?pvs=21), Conduct Stability Studies (https://www.notion.so/Conduct-Stability-Studies-2753dedf985681b59ec8cfe6c98c5f37?pvs=21), Scale Formulation Process (https://www.notion.so/Scale-Formulation-Process-2753dedf985681558b34cd41c2ad8a4b?pvs=21), Transfer to Manufacturing (https://www.notion.so/Transfer-to-Manufacturing-2753dedf985681f89e39d8bad2892534?pvs=21)",ROLE-010,Preclinical Development (https://www.notion.so/Preclinical-Development-2753dedf985681abbf9ae07c57a7bb5e?pvs=21),Research & Development (https://www.notion.so/Research-Development-2753dedf985681a8a73ae6a753a46224?pvs=21)
