Department_Name,Compliance_Requirements,Created_At,Created_By,Critical_Systems,Data_Classification,Department_ID,Department_Type,Description,Export_Format,Function_Area,Mapped_to_Functions,Mapped_to_Roles,Migration_Ready,Roles,Unique_ID,Updated_At,Updated_By,🏫 Functions
Medical Affairs - Launch,"FDA Part 11, GxP, HIPAA","September 21, 2025 2:28 PM",Hicham Naim,"CRM, DMS, EDC",Restricted,VP-DEPT-3,Medical Affairs,,,"Compliance, Strategic, Technical",,,Yes,,,"September 21, 2025 2:28 PM",Hicham Naim,
Supply Chain - Launch Operations,"FDA Part 11, GxP, ISO 13485","September 21, 2025 2:28 PM",Hicham Naim,"ERP, LIMS, QMS",Internal,VP-DEPT-4,Commercial,,,"Operational, Technical",,,Yes,,,"September 21, 2025 2:28 PM",Hicham Naim,
Launch Excellence Office,"FDA Part 11, GxP, HIPAA","September 21, 2025 2:28 PM",Hicham Naim,"CRM, DMS, ERP",Confidential,VP-DEPT-1,Commercial,,,"Operational, Revenue Generating, Strategic",,,Yes,,,"September 21, 2025 2:28 PM",Hicham Naim,
Market Access & Reimbursement,"FDA Part 11, HIPAA","September 21, 2025 2:28 PM",Hicham Naim,"CRM, DMS",Confidential,VP-DEPT-2,Commercial,,,"Revenue Generating, Strategic",,,Yes,,,"September 21, 2025 2:28 PM",Hicham Naim,
Drug Discovery,,"September 21, 2025 4:22 PM",Hicham Naim,,,VP-DEPT-5,,"Target identification, lead generation, and optimization of drug candidates",,,FUNC-001,"ROLE-001, ROLE-002, ROLE-003, ROLE-004, ROLE-005",No,"Chief Scientific Officer (https://www.notion.so/Chief-Scientific-Officer-2753dedf985681208724ce76f1e18368?pvs=21), Head of Discovery (https://www.notion.so/Head-of-Discovery-2753dedf985681a1ac19c94eaab2c2a5?pvs=21), Principal Scientist (https://www.notion.so/Principal-Scientist-2753dedf9856813f983fc1e4a4aa56c8?pvs=21), Medicinal Chemist (https://www.notion.so/Medicinal-Chemist-2753dedf985681219e1cce26b6b1615a?pvs=21), Molecular Biologist (https://www.notion.so/Molecular-Biologist-2753dedf9856819796b2edbdd1270c65?pvs=21)",DEPT-001,"September 21, 2025 4:41 PM",Hicham Naim,Research & Development (https://www.notion.so/Research-Development-2753dedf985681a8a73ae6a753a46224?pvs=21)
Preclinical Development,,"September 21, 2025 4:22 PM",Hicham Naim,,,VP-DEPT-6,,"In vitro and in vivo studies, toxicology, DMPK, and early formulation development",,,FUNC-001,"ROLE-006, ROLE-007, ROLE-008, ROLE-009, ROLE-010",No,"Head of Preclinical (https://www.notion.so/Head-of-Preclinical-2753dedf985681b98523df6745011e4c?pvs=21), Toxicologist (https://www.notion.so/Toxicologist-2753dedf98568102b61ecbea95b03bbc?pvs=21), Pharmacologist (https://www.notion.so/Pharmacologist-2753dedf98568187a122cb3dec4b7f8d?pvs=21), DMPK Scientist (https://www.notion.so/DMPK-Scientist-2753dedf9856817d96e1dec28c078b22?pvs=21), Formulation Scientist (https://www.notion.so/Formulation-Scientist-2753dedf9856814c872be23133b9536f?pvs=21)",DEPT-002,"September 21, 2025 4:41 PM",Hicham Naim,Research & Development (https://www.notion.so/Research-Development-2753dedf985681a8a73ae6a753a46224?pvs=21)
Translational Medicine,,"September 21, 2025 4:22 PM",Hicham Naim,,,VP-DEPT-7,,"Bridge between preclinical and clinical, biomarker development, and patient stratification",,,FUNC-001,"ROLE-011, ROLE-012, ROLE-013, ROLE-014, ROLE-015",No,"Head of Translational Medicine (https://www.notion.so/Head-of-Translational-Medicine-2753dedf9856811f9dedf96786723bea?pvs=21), Translational Scientist (https://www.notion.so/Translational-Scientist-2753dedf9856815f90ffda14dfd5d1c5?pvs=21), Biomarker Specialist (https://www.notion.so/Biomarker-Specialist-2753dedf985681329d6bd981567b7648?pvs=21), Pharmacogenomics Scientist (https://www.notion.so/Pharmacogenomics-Scientist-2753dedf9856810ab240f1071cb47b55?pvs=21), Systems Biologist (https://www.notion.so/Systems-Biologist-2753dedf9856816f9b13c6246f57e5cd?pvs=21)",DEPT-003,"September 21, 2025 4:41 PM",Hicham Naim,Research & Development (https://www.notion.so/Research-Development-2753dedf985681a8a73ae6a753a46224?pvs=21)
Clinical Operations,,"September 21, 2025 4:22 PM",Hicham Naim,,,VP-DEPT-8,,"Clinical trial execution, site management, patient recruitment, and monitoring",,,FUNC-002,"ROLE-016, ROLE-017, ROLE-018, ROLE-019, ROLE-020",No,"VP Clinical Operations (https://www.notion.so/VP-Clinical-Operations-2753dedf9856813baf11fffd553d317a?pvs=21), Clinical Trial Manager (https://www.notion.so/Clinical-Trial-Manager-2753dedf985681459552c84851116df0?pvs=21), Clinical Research Associate (https://www.notion.so/Clinical-Research-Associate-2753dedf9856810bab38d8b0f06934b3?pvs=21), Study Coordinator (https://www.notion.so/Study-Coordinator-2753dedf985681be8ffcda023aabb58b?pvs=21), Clinical Supply Manager (https://www.notion.so/Clinical-Supply-Manager-2753dedf985681229f7ceecf59602b06?pvs=21)",DEPT-004,"September 21, 2025 4:41 PM",Hicham Naim,Clinical Development (https://www.notion.so/Clinical-Development-2753dedf985681abb32ce2905afa34f7?pvs=21)
Clinical Development,,"September 21, 2025 4:22 PM",Hicham Naim,,,VP-DEPT-9,,"Study design, protocol development, medical monitoring, and therapeutic area strategy",,,FUNC-002,"ROLE-021, ROLE-022, ROLE-023, ROLE-024, ROLE-025",No,"Chief Medical Officer (https://www.notion.so/Chief-Medical-Officer-2753dedf985681759ad6dceb2250dcd8?pvs=21), Therapeutic Area Head (https://www.notion.so/Therapeutic-Area-Head-2753dedf985681308c34fa8da5b534ba?pvs=21), Clinical Scientist (https://www.notion.so/Clinical-Scientist-2753dedf985681ce9047e7b58ef88840?pvs=21), Medical Monitor (https://www.notion.so/Medical-Monitor-2753dedf985681a09738f0ab98e5a3da?pvs=21), Protocol Writer (https://www.notion.so/Protocol-Writer-2753dedf985681f99d48c3c9f9de5e77?pvs=21)",DEPT-005,"September 21, 2025 4:41 PM",Hicham Naim,Clinical Development (https://www.notion.so/Clinical-Development-2753dedf985681abb32ce2905afa34f7?pvs=21)
Data Management,,"September 21, 2025 4:22 PM",Hicham Naim,,,VP-DEPT-10,,"Clinical data collection, cleaning, database management, and CDISC standards",,,FUNC-002,"ROLE-026, ROLE-027, ROLE-028, ROLE-029",No,"Head of Data Management (https://www.notion.so/Head-of-Data-Management-2753dedf9856812c9300eba3325731db?pvs=21), Clinical Data Manager (https://www.notion.so/Clinical-Data-Manager-2753dedf9856811c92eae7f83d3b0047?pvs=21), Database Programmer (https://www.notion.so/Database-Programmer-2753dedf985681bf9097f3524bfaf7c0?pvs=21), Data Standards Specialist (https://www.notion.so/Data-Standards-Specialist-2753dedf9856814cb5a4d2af2f386865?pvs=21)",DEPT-006,"September 21, 2025 4:41 PM",Hicham Naim,Clinical Development (https://www.notion.so/Clinical-Development-2753dedf985681abb32ce2905afa34f7?pvs=21)
