Department_Name,Description,Migration_Ready,Roles,Unique_ID,Updated_At,Updated_By,🏫 Departments
Research & Development,"Drug discovery, preclinical and translational research activities focused on identifying and developing new therapeutic candidates",No,"Chief Scientific Officer (https://www.notion.so/Chief-Scientific-Officer-2753dedf985681208724ce76f1e18368?pvs=21), Head of Discovery (https://www.notion.so/Head-of-Discovery-2753dedf985681a1ac19c94eaab2c2a5?pvs=21), Principal Scientist (https://www.notion.so/Principal-Scientist-2753dedf9856813f983fc1e4a4aa56c8?pvs=21), Medicinal Chemist (https://www.notion.so/Medicinal-Chemist-2753dedf985681219e1cce26b6b1615a?pvs=21), Molecular Biologist (https://www.notion.so/Molecular-Biologist-2753dedf9856819796b2edbdd1270c65?pvs=21), Head of Preclinical (https://www.notion.so/Head-of-Preclinical-2753dedf985681b98523df6745011e4c?pvs=21), Toxicologist (https://www.notion.so/Toxicologist-2753dedf98568102b61ecbea95b03bbc?pvs=21), Pharmacologist (https://www.notion.so/Pharmacologist-2753dedf98568187a122cb3dec4b7f8d?pvs=21), DMPK Scientist (https://www.notion.so/DMPK-Scientist-2753dedf9856817d96e1dec28c078b22?pvs=21), Formulation Scientist (https://www.notion.so/Formulation-Scientist-2753dedf9856814c872be23133b9536f?pvs=21), Head of Translational Medicine (https://www.notion.so/Head-of-Translational-Medicine-2753dedf9856811f9dedf96786723bea?pvs=21), Translational Scientist (https://www.notion.so/Translational-Scientist-2753dedf9856815f90ffda14dfd5d1c5?pvs=21), Biomarker Specialist (https://www.notion.so/Biomarker-Specialist-2753dedf985681329d6bd981567b7648?pvs=21), Pharmacogenomics Scientist (https://www.notion.so/Pharmacogenomics-Scientist-2753dedf9856810ab240f1071cb47b55?pvs=21), Systems Biologist (https://www.notion.so/Systems-Biologist-2753dedf9856816f9b13c6246f57e5cd?pvs=21)",FUNC-001,"September 21, 2025 4:44 PM",Hicham Naim,"Translational Medicine (https://www.notion.so/Translational-Medicine-2753dedf985681fab4a4fa0fca69cf27?pvs=21), Preclinical Development (https://www.notion.so/Preclinical-Development-2753dedf985681abbf9ae07c57a7bb5e?pvs=21), Drug Discovery (https://www.notion.so/Drug-Discovery-2753dedf985681468c74cc7b52177261?pvs=21)"
Clinical Development,"Planning, execution, and management of clinical trials from Phase I through Phase IV, including data management and biostatistics",No,"VP Clinical Operations (https://www.notion.so/VP-Clinical-Operations-2753dedf9856813baf11fffd553d317a?pvs=21), Clinical Trial Manager (https://www.notion.so/Clinical-Trial-Manager-2753dedf985681459552c84851116df0?pvs=21), Clinical Research Associate (https://www.notion.so/Clinical-Research-Associate-2753dedf9856810bab38d8b0f06934b3?pvs=21), Study Coordinator (https://www.notion.so/Study-Coordinator-2753dedf985681be8ffcda023aabb58b?pvs=21), Clinical Supply Manager (https://www.notion.so/Clinical-Supply-Manager-2753dedf985681229f7ceecf59602b06?pvs=21), Chief Medical Officer (https://www.notion.so/Chief-Medical-Officer-2753dedf985681759ad6dceb2250dcd8?pvs=21), Therapeutic Area Head (https://www.notion.so/Therapeutic-Area-Head-2753dedf985681308c34fa8da5b534ba?pvs=21), Clinical Scientist (https://www.notion.so/Clinical-Scientist-2753dedf985681ce9047e7b58ef88840?pvs=21), Medical Monitor (https://www.notion.so/Medical-Monitor-2753dedf985681a09738f0ab98e5a3da?pvs=21), Protocol Writer (https://www.notion.so/Protocol-Writer-2753dedf985681f99d48c3c9f9de5e77?pvs=21), Head of Data Management (https://www.notion.so/Head-of-Data-Management-2753dedf9856812c9300eba3325731db?pvs=21), Clinical Data Manager (https://www.notion.so/Clinical-Data-Manager-2753dedf9856811c92eae7f83d3b0047?pvs=21), Database Programmer (https://www.notion.so/Database-Programmer-2753dedf985681bf9097f3524bfaf7c0?pvs=21), Data Standards Specialist (https://www.notion.so/Data-Standards-Specialist-2753dedf9856814cb5a4d2af2f386865?pvs=21), Head of Biostatistics (https://www.notion.so/Head-of-Biostatistics-2753dedf985681e4b788c8d795098d86?pvs=21), Principal Biostatistician (https://www.notion.so/Principal-Biostatistician-2753dedf9856812fbf61ee52795949d4?pvs=21), Statistical Programmer (https://www.notion.so/Statistical-Programmer-2753dedf98568152b3bfecb45d18a7c3?pvs=21), SAS Programmer (https://www.notion.so/SAS-Programmer-2753dedf9856814abae6f2f241ebda4b?pvs=21)",FUNC-002,"September 21, 2025 4:46 PM",Hicham Naim,"Biostatistics (https://www.notion.so/Biostatistics-2753dedf985681e4b45fcba7177ac2af?pvs=21), Data Management (https://www.notion.so/Data-Management-2753dedf9856819686e0da5cc1c5e788?pvs=21), Clinical Development (https://www.notion.so/Clinical-Development-2753dedf985681c69375cf5c47a8da54?pvs=21), Clinical Operations (https://www.notion.so/Clinical-Operations-2753dedf9856819ba33ce65e0eaf4a86?pvs=21)"
Regulatory Affairs,"Regulatory strategy, submissions, compliance, and interaction with global health authorities",No,"VP Regulatory Affairs (https://www.notion.so/VP-Regulatory-Affairs-2753dedf985681aeb492cbdc6a39e9f9?pvs=21), Regulatory Strategy Director (https://www.notion.so/Regulatory-Strategy-Director-2753dedf98568112893bdb1845f27c44?pvs=21), Regulatory Affairs Manager (https://www.notion.so/Regulatory-Affairs-Manager-2753dedf985681c99b62cd4cdf00e4d1?pvs=21), Regulatory Writer (https://www.notion.so/Regulatory-Writer-2753dedf98568133ad7ff06a03e8ff37?pvs=21), CMC Regulatory Head (https://www.notion.so/CMC-Regulatory-Head-2753dedf98568133a478c265f95a9251?pvs=21), CMC Regulatory Manager (https://www.notion.so/CMC-Regulatory-Manager-2753dedf985681ecbf3bdf9be0c0f515?pvs=21), Technical Writer (https://www.notion.so/Technical-Writer-2753dedf985681c18eabd03d41d33ef2?pvs=21), Regulatory Intelligence Lead (https://www.notion.so/Regulatory-Intelligence-Lead-2753dedf9856812aae69c394d38eec9d?pvs=21), Intelligence Analyst (https://www.notion.so/Intelligence-Analyst-2753dedf985681cb8b75e36f2f0bb522?pvs=21), Policy Analyst (https://www.notion.so/Policy-Analyst-2753dedf985681f9a3caf3ea388fa5c1?pvs=21)",FUNC-003,"September 21, 2025 4:46 PM",Hicham Naim,"Regulatory Intelligence (https://www.notion.so/Regulatory-Intelligence-2753dedf98568161babefe493e6fdc3f?pvs=21), Regulatory CMC (https://www.notion.so/Regulatory-CMC-2753dedf9856819294b2e897be220b63?pvs=21), Global Regulatory (https://www.notion.so/Global-Regulatory-2753dedf98568181b82af877e153fb9a?pvs=21)"
Manufacturing,"Drug substance and product manufacturing, supply chain management, and distribution",No,"Head of API Manufacturing (https://www.notion.so/Head-of-API-Manufacturing-2753dedf985681cc846cf2509083cc41?pvs=21), Process Engineer (https://www.notion.so/Process-Engineer-2753dedf985681df83ecc83a69633f72?pvs=21), Production Manager (https://www.notion.so/Production-Manager-2753dedf98568168a363cf7311e938e7?pvs=21), Process Development Scientist (https://www.notion.so/Process-Development-Scientist-2753dedf985681ebbcf6dbad64cea3aa?pvs=21), Head of Formulation (https://www.notion.so/Head-of-Formulation-2753dedf98568143bfc4f4ae3b77d4f1?pvs=21), Formulation Scientist (https://www.notion.so/Formulation-Scientist-2753dedf9856810ca1eddfe39ad733a4?pvs=21), Packaging Engineer (https://www.notion.so/Packaging-Engineer-2753dedf985681c7a0b5c9e2d551eef1?pvs=21), Analytical Scientist (https://www.notion.so/Analytical-Scientist-2753dedf985681759262ed950b15cf02?pvs=21), Supply Chain Director (https://www.notion.so/Supply-Chain-Director-2753dedf985681099609da726c66a304?pvs=21), Demand Planner (https://www.notion.so/Demand-Planner-2753dedf985681d797f2e0017ea7d9a3?pvs=21), Supply Planner (https://www.notion.so/Supply-Planner-2753dedf9856814c8dcbff50c745e30f?pvs=21), Logistics Manager (https://www.notion.so/Logistics-Manager-2753dedf985681bc818dc68e5f804f81?pvs=21)",FUNC-004,"September 21, 2025 4:47 PM",Hicham Naim,"Supply Chain (https://www.notion.so/Supply-Chain-2753dedf9856816a8e25c7b3f42ef6e0?pvs=21), Drug Product (https://www.notion.so/Drug-Product-2753dedf985681f0acabfba280308664?pvs=21), Drug Substance (https://www.notion.so/Drug-Substance-2753dedf9856813ea7f6ce349b4b674b?pvs=21)"
Quality,"Quality assurance, quality control, compliance, and validation across all GxP areas",No,"VP Quality (https://www.notion.so/VP-Quality-2753dedf98568185856fe1687c783e6d?pvs=21), QA Director (https://www.notion.so/QA-Director-2753dedf9856810caa2ed671755ce178?pvs=21), QA Manager (https://www.notion.so/QA-Manager-2753dedf985681d89258d803d4917855?pvs=21), Validation Specialist (https://www.notion.so/Validation-Specialist-2753dedf985681f6a2e4cea5667a1ee8?pvs=21), QC Director (https://www.notion.so/QC-Director-2753dedf985681e09c3ff5eacf0565a9?pvs=21), QC Lab Manager (https://www.notion.so/QC-Lab-Manager-2753dedf985681c9aeeaf839e34f00fc?pvs=21), QC Analyst (https://www.notion.so/QC-Analyst-2753dedf985681bc9a2bc42b4a13108f?pvs=21), Microbiologist (https://www.notion.so/Microbiologist-2753dedf9856816a819beec81db1e9b4?pvs=21), Compliance Director (https://www.notion.so/Compliance-Director-2753dedf9856814fa351ede1298b594b?pvs=21), Compliance Manager (https://www.notion.so/Compliance-Manager-2753dedf9856810b8329cea3cc206f09?pvs=21), Data Integrity Specialist (https://www.notion.so/Data-Integrity-Specialist-2753dedf985681a1a565cf69cd2aea1a?pvs=21)",FUNC-005,"September 21, 2025 4:49 PM",Hicham Naim,"Quality Compliance (https://www.notion.so/Quality-Compliance-2753dedf985681d4bbb1f6784cb60031?pvs=21), Quality Control (https://www.notion.so/Quality-Control-2753dedf9856818b9181c1780f524e9d?pvs=21), Quality Assurance (https://www.notion.so/Quality-Assurance-2753dedf985681d0a940c2bced3721f9?pvs=21)"
Medical Affairs,"Scientific engagement, medical information, publications, and KOL management",No,"MSL Director (https://www.notion.so/MSL-Director-2753dedf9856816aac50d0c963fceb3b?pvs=21), Senior MSL (https://www.notion.so/Senior-MSL-2753dedf985681e49e41d2ec4f198c70?pvs=21), Regional MSL (https://www.notion.so/Regional-MSL-2753dedf9856814fa632cee076b237bb?pvs=21), Medical Information Manager (https://www.notion.so/Medical-Information-Manager-2753dedf9856814890d8cfc27517d4f2?pvs=21), Medical Information Specialist (https://www.notion.so/Medical-Information-Specialist-2753dedf98568196b94acd879b1bc937?pvs=21), Medical Writer (https://www.notion.so/Medical-Writer-2753dedf985681e39905d64d35b841ca?pvs=21), Medical Communications Director (https://www.notion.so/Medical-Communications-Director-2753dedf985681a8aa3aef6eed5ad5bd?pvs=21), Publication Manager (https://www.notion.so/Publication-Manager-2753dedf9856818aace2e78cbdc5b54b?pvs=21), Systems Biologist (https://www.notion.so/Systems-Biologist-2753dedf9856816f9b13c6246f57e5cd?pvs=21)",FUNC-006,"September 21, 2025 4:48 PM",Hicham Naim,"Medical Communications (https://www.notion.so/Medical-Communications-2753dedf98568119a97fd56ca4749a28?pvs=21), Medical Information (https://www.notion.so/Medical-Information-2753dedf9856810899b7f007fd0f4ae4?pvs=21), Medical Science Liaisons (https://www.notion.so/Medical-Science-Liaisons-2753dedf9856812bac02c8f28dbd5b52?pvs=21)"
Pharmacovigilance,"Drug safety monitoring, signal detection, risk management, and adverse event reporting",No,"Chief Safety Officer (https://www.notion.so/Chief-Safety-Officer-2753dedf985681aaa286dbe7aacfc6c9?pvs=21), Pharmacovigilance Director (https://www.notion.so/Pharmacovigilance-Director-2753dedf98568169b5c4ef14bf6fa5dd?pvs=21), Drug Safety Scientist (https://www.notion.so/Drug-Safety-Scientist-2753dedf985681aebc97c4fde02fc566?pvs=21), Safety Physician (https://www.notion.so/Safety-Physician-2753dedf98568184a64de4151d2fbc64?pvs=21), Risk Management Director (https://www.notion.so/Risk-Management-Director-2753dedf985681149839c72c17077c73?pvs=21), Risk Management Scientist (https://www.notion.so/Risk-Management-Scientist-2753dedf98568145aab4d3618621eab6?pvs=21), REMS Specialist (https://www.notion.so/REMS-Specialist-2753dedf9856819e9afbf6eb5f841a98?pvs=21), Head of Epidemiology (https://www.notion.so/Head-of-Epidemiology-2753dedf985681a184c2e00d5a26a4e9?pvs=21), Epidemiologist (https://www.notion.so/Epidemiologist-2753dedf985681ad904bcc6d11bd68e9?pvs=21), Real-World Evidence Scientist (https://www.notion.so/Real-World-Evidence-Scientist-2753dedf985681c19567fa49a73359f5?pvs=21)",FUNC-007,"September 21, 2025 4:42 PM",Hicham Naim,"Epidemiology (https://www.notion.so/Epidemiology-2753dedf98568106813eefbe5b5efd2f?pvs=21), Risk Management (https://www.notion.so/Risk-Management-2753dedf9856812b81b3fe582b22637d?pvs=21), Drug Safety (https://www.notion.so/Drug-Safety-2753dedf98568108b55cd328c72b0e50?pvs=21)"
Commercial,"Marketing, sales, market access, pricing, reimbursement, and health economics",No,"VP Marketing (https://www.notion.so/VP-Marketing-2753dedf985681c89f63e00cd03cb0c4?pvs=21), Brand Director (https://www.notion.so/Brand-Director-2753dedf985681fcb32bf38b343d43ba?pvs=21), Product Manager (https://www.notion.so/Product-Manager-2753dedf985681379e04ff45145a1179?pvs=21), Marketing Manager (https://www.notion.so/Marketing-Manager-2753dedf98568170b89bf1cd5df52874?pvs=21), Digital Marketing Specialist (https://www.notion.so/Digital-Marketing-Specialist-2753dedf985681aba492cfd9f60fb3d4?pvs=21), VP Sales (https://www.notion.so/VP-Sales-2753dedf985681a98618c351c897d184?pvs=21), National Sales Director (https://www.notion.so/National-Sales-Director-2753dedf985681dfb9d6ce8b9c60a2e1?pvs=21), Regional Sales Manager (https://www.notion.so/Regional-Sales-Manager-2753dedf9856811e8a88e76575f7d805?pvs=21), Territory Manager (https://www.notion.so/Territory-Manager-2753dedf9856819aad93d7e2de4a045b?pvs=21), Market Access Director (https://www.notion.so/Market-Access-Director-2753dedf985681d698d5cb1c3daf4cc4?pvs=21), Pricing Manager (https://www.notion.so/Pricing-Manager-2753dedf9856815ca9f4c8557dd44953?pvs=21), Reimbursement Specialist (https://www.notion.so/Reimbursement-Specialist-2753dedf985681f3bbcad64e71b0cb75?pvs=21), Payer Relations Manager (https://www.notion.so/Payer-Relations-Manager-2753dedf985681d6b58ed2c41c6558f6?pvs=21), HEOR Director (https://www.notion.so/HEOR-Director-2753dedf98568118823cfb1343b41247?pvs=21), Health Economist (https://www.notion.so/Health-Economist-2753dedf9856818597cad834533345c9?pvs=21), Outcomes Research Scientist (https://www.notion.so/Outcomes-Research-Scientist-2753dedf9856814882ffe8dc93bbcf60?pvs=21), HTA Specialist (https://www.notion.so/HTA-Specialist-2753dedf9856814da0b8e15944b139e8?pvs=21)",FUNC-008,"September 21, 2025 4:37 PM",Hicham Naim,"HEOR (https://www.notion.so/HEOR-2753dedf98568175a2dad51c13857c22?pvs=21), Market Access (https://www.notion.so/Market-Access-2753dedf98568100a247c608a34f8c72?pvs=21), Sales (https://www.notion.so/Sales-2753dedf985681bc8e71df07523c0b91?pvs=21), Marketing (https://www.notion.so/Marketing-2753dedf985681c988fbfa3690992c25?pvs=21)"
Business Development,"Licensing, partnerships, M&A, portfolio management, and strategic planning",No,"Chief Business Officer (https://www.notion.so/Chief-Business-Officer-2753dedf9856815a8e97ff55ecacc08b?pvs=21), BD Director (https://www.notion.so/BD-Director-2753dedf985681feae14cf1ce1431bf6?pvs=21), Licensing Manager (https://www.notion.so/Licensing-Manager-2753dedf985681d5b92dce4ee9965667?pvs=21), Alliance Manager (https://www.notion.so/Alliance-Manager-2753dedf985681e99328f9b7962032e3?pvs=21), Strategy Director (https://www.notion.so/Strategy-Director-2753dedf985681d28b2bc02e9db14ae1?pvs=21), Strategic Planner (https://www.notion.so/Strategic-Planner-2753dedf985681528040e51a13af1683?pvs=21), Business Analyst (https://www.notion.so/Business-Analyst-2753dedf98568182a6bcec1eb51996a3?pvs=21)",FUNC-009,"September 21, 2025 4:35 PM",Hicham Naim,"Strategic Planning (https://www.notion.so/Strategic-Planning-2753dedf98568179b018d679d8fc4bae?pvs=21), BD&L (https://www.notion.so/BD-L-2753dedf98568174b9ddf38ce64d7056?pvs=21)"
Legal,"Legal affairs, intellectual property, contracts, compliance, and litigation management",No,"General Counsel (https://www.notion.so/General-Counsel-2753dedf98568121bd73d6ff16bed36f?pvs=21), Clinical Scientist (https://www.notion.so/Clinical-Scientist-2753dedf985681ce9047e7b58ef88840?pvs=21), Patent Attorney (https://www.notion.so/Patent-Attorney-2753dedf985681089314d9ea24a29189?pvs=21), Regulatory Attorney (https://www.notion.so/Regulatory-Attorney-2753dedf985681c89cefe4d55413bcb5?pvs=21), Contract Manager (https://www.notion.so/Contract-Manager-2753dedf9856819989ecdfd4227b92a5?pvs=21), Compliance Lawyer (https://www.notion.so/Compliance-Lawyer-2753dedf9856813fbd7bcb6d70888857?pvs=21), IP Specialist (https://www.notion.so/IP-Specialist-2753dedf98568125a7d1ce95dea3f165?pvs=21)",FUNC-010,"September 21, 2025 4:34 PM",Hicham Naim,Legal Affairs (https://www.notion.so/Legal-Affairs-2753dedf9856815a9c64dc0df2740948?pvs=21)
