Name,Description,Mapped_to_VITAL_Path_Use_Cases,Roles,Unique_ID
Set R&D Strategy,Define overall research and development strategy,UC-001: Portfolio optimization analytics,Chief Scientific Officer (https://www.notion.so/Chief-Scientific-Officer-2753dedf985681208724ce76f1e18368?pvs=21),RESP-001
Lead Scientific Innovation,Drive scientific innovation across research programs,UC-002: Competitive intelligence monitoring,Chief Scientific Officer (https://www.notion.so/Chief-Scientific-Officer-2753dedf985681208724ce76f1e18368?pvs=21),RESP-002
Manage R&D Budget,Oversee and allocate R&D budget,UC-003: Budget planning tools,Chief Scientific Officer (https://www.notion.so/Chief-Scientific-Officer-2753dedf985681208724ce76f1e18368?pvs=21),RESP-003
Build Research Partnerships,Establish academic and industry partnerships,UC-004: Partnership opportunity assessment,Chief Scientific Officer (https://www.notion.so/Chief-Scientific-Officer-2753dedf985681208724ce76f1e18368?pvs=21),RESP-004
Represent Science Externally,Represent company at scientific conferences,UC-005: Conference content generation,Chief Scientific Officer (https://www.notion.so/Chief-Scientific-Officer-2753dedf985681208724ce76f1e18368?pvs=21),RESP-005
Manage Discovery Portfolio,Oversee drug discovery project portfolio,UC-006: Pipeline management dashboard,Head of Discovery (https://www.notion.so/Head-of-Discovery-2753dedf985681a1ac19c94eaab2c2a5?pvs=21),RESP-006
Lead Target Selection,Guide target identification and validation,UC-007: Target landscape analysis,Head of Discovery (https://www.notion.so/Head-of-Discovery-2753dedf985681a1ac19c94eaab2c2a5?pvs=21),RESP-007
Optimize Discovery Process,Improve discovery workflows and timelines,UC-008: Process optimization tools,Head of Discovery (https://www.notion.so/Head-of-Discovery-2753dedf985681a1ac19c94eaab2c2a5?pvs=21),RESP-008
Review Discovery Data,Evaluate discovery project data and decisions,UC-010: Data analysis platform,Head of Discovery (https://www.notion.so/Head-of-Discovery-2753dedf985681a1ac19c94eaab2c2a5?pvs=21),RESP-010
Manage Discovery Teams,Lead and develop discovery scientists,UC-009: Team performance tracking,Head of Discovery (https://www.notion.so/Head-of-Discovery-2753dedf985681a1ac19c94eaab2c2a5?pvs=21),RESP-009
Conduct Experiments,Execute laboratory experiments,UC-012: Protocol templates,Principal Scientist (https://www.notion.so/Principal-Scientist-2753dedf9856813f983fc1e4a4aa56c8?pvs=21),RESP-012
Design Research Studies,Design and plan research experiments,UC-011: Experimental design assistant,Principal Scientist (https://www.notion.so/Principal-Scientist-2753dedf9856813f983fc1e4a4aa56c8?pvs=21),RESP-011
Analyze Research Data,Analyze and interpret experimental data,UC-013: Statistical analysis tools,Principal Scientist (https://www.notion.so/Principal-Scientist-2753dedf9856813f983fc1e4a4aa56c8?pvs=21),RESP-013
Present Research Findings,Present results at meetings and conferences,UC-015: Presentation generator,Principal Scientist (https://www.notion.so/Principal-Scientist-2753dedf9856813f983fc1e4a4aa56c8?pvs=21),RESP-015
