id,prompt_code,name,slug,prompt_starter,description,detailed_prompt,role_type,category,function,task_type,complexity,pattern_type,system_prompt,user_template,tags,variables,estimated_time_minutes,accuracy_clinical,accuracy_regulatory,user_satisfaction,avg_latency_ms,usage_count,expert_validated,validation_date,validator_name,validator_credentials,version,is_active,created_at,updated_at,rag_enabled,rag_context_sources,allowed_tenants,function_id,function_name,department_id,department_name,role_id,role_name,organization_id
0046574e-9019-481b-a551-c4f0a4d42a37,USR-4393c7c5-3,Outcomes Research Specialist - Starter #3,outcomes-research-specialist-starter-3,Develop plan collecting and analyzing,Conversation starter: Develop plan collecting and analyzing,Develop a plan for collecting and analyzing patient-reported outcomes using digital health tools in a clinical trial for a new oncology drug to capture real-time patient experiences.,user,general,,,advanced,,,,"[""expert"",""real-world-evidence-study-design"",""comparative-effectiveness-research"",""patient-reported-outcome-analysis""]",,,,,,,0,false,,,,1.0.0,true,2025-11-17 17:34:17.407152,2025-11-18 19:06:49.87549,false,,"[""c1977eb4-cb2e-4cf7-8cf8-4ac71e27a244"",""684f6c2c-b50d-4726-ad92-c76c3b785a89"",""c6d221f8-1e8d-4dd9-86c5-d640ad6bf30b""]",,,,,,,
00513dbf-6122-4e7b-a791-1c75aa6cfda1,USR-69a2beda-1,Dosing Calculator - Starter #1,dosing-calculator-starter-1,Calculate optimal dosing regimen patient,Conversation starter: Calculate optimal dosing regimen patient,Calculate the optimal dosing regimen for a patient with renal impairment based on their current weight and creatinine clearance using pharmacokinetic data.,user,general,,,intermediate,,,,"[""specialist"",""pk-based-dose-calculations"",""drug-interaction-assessment"",""medication-guidance""]",,,,,,,0,false,,,,1.0.0,true,2025-11-17 17:34:56.343093,2025-11-18 19:06:49.87549,false,,"[""c1977eb4-cb2e-4cf7-8cf8-4ac71e27a244"",""684f6c2c-b50d-4726-ad92-c76c3b785a89"",""c6d221f8-1e8d-4dd9-86c5-d640ad6bf30b""]",,,,,,,
006b5840-5eef-4ade-bffb-9d8c89acb1f1,VAL-EVI-001,VALUE | EVIDENCE | RWE Evidence Plan,value-evidence-rwe-plan,RWE Evidence Plan,,"Context (bullets):
- Evidence needs (outcomes, subpops, safety); datasets (claims/EHR/registry); geos; HTA/payer use; comparators

Task:
- Design RWE plan: questions, endpoints, methods, bias control, outputs for HTA/payers.
- Use doc_summarizer on key prior studies (≤150w each; ≤800w total); comparator_finder; risk_skill for bias/uncertainty.

Output format:
- Exec Summary; Questions/Use Cases; Datasets/Methods; Bias Controls; Outputs/Formats; Risks/Mitigations; Timeline

Constraints:
- No PII; no full-paper dumps; cite IDs/DOIs if available.
- Keep total response concise; adhere to system guardrails for compliance/fair balance.",user,market-access,market-access,prompt,advanced,rich,,,"[""rwe"",""evidence"",""hta"",""payer"",""comparators""]",[],,,,,,0,false,,,,1.0.0,true,2025-12-10 08:26:38.101443,2025-12-10 08:26:38.101443,false,[],[],,,,,,,
0095d169-f597-4945-b511-b7c2fb38d021,USR-c2318edf-4,Omnichannel Strategist - Starter #4,omnichannel-strategist-starter-4,Evaluate current pharmacotherapy decision support,Conversation starter: Evaluate current pharmacotherapy decision support,Evaluate the current pharmacotherapy decision support resources we offer and propose actionable improvements to ensure safe medication practices among prescribers.,user,general,,,advanced,,,,"[""expert"",""multi-channel-marketing-coordination"",""evidence-based-medication-guidance"",""safe-pharmacotherapy-decisions-support""]",,,,,,,0,false,,,,1.0.0,true,2025-11-17 17:35:17.729521,2025-11-18 19:06:49.87549,false,,"[""c1977eb4-cb2e-4cf7-8cf8-4ac71e27a244"",""684f6c2c-b50d-4726-ad92-c76c3b785a89"",""c6d221f8-1e8d-4dd9-86c5-d640ad6bf30b""]",,,,,,,
00a7ef2b-2f7e-465c-9bff-24b61c0c4b1e,USR-ddbad674-4,Formulary Access Manager - Starter #4,formulary-access-manager-starter-4,Analyze recent trends formulary management,Conversation starter: Analyze recent trends formulary management,"Analyze recent trends in formulary management and propose actionable strategies to enhance patient access in digital health solutions, leveraging data analytics for decision-making.",user,general,,,advanced,,,,"[""expert"",""pt-process-management"",""formulary-strategy-development"",""formulary-negotiation-support""]",,,,,,,0,false,,,,1.0.0,true,2025-11-17 17:34:21.260173,2025-11-18 19:06:49.87549,false,,"[""c1977eb4-cb2e-4cf7-8cf8-4ac71e27a244"",""684f6c2c-b50d-4726-ad92-c76c3b785a89"",""c6d221f8-1e8d-4dd9-86c5-d640ad6bf30b""]",,,,,,,
00bb576b-b94d-4e38-9c94-6f2136d4d888,USR-cc4dc946-4,Promotional Material Developer - Starter #4,promotional-material-developer-starter-4,Prepare comprehensive email campaign targeting,Conversation starter: Prepare comprehensive email campaign targeting,Prepare a comprehensive email campaign targeting biotech companies that outlines the advantages of integrating safe pharmacotherapy decision support tools into their clinical workflows.,user,general,,,intermediate,,,,"[""specialist"",""evidence-based-medication-guidance"",""dosing-calculation"",""drug-interaction-assessment""]",,,,,,,0,false,,,,1.0.0,true,2025-11-17 17:34:58.044148,2025-11-18 19:06:49.87549,false,,"[""c1977eb4-cb2e-4cf7-8cf8-4ac71e27a244"",""684f6c2c-b50d-4726-ad92-c76c3b785a89"",""c6d221f8-1e8d-4dd9-86c5-d640ad6bf30b""]",,,,,,,
00dc85c5-35e8-49d8-b98d-34fd6ce1aed4,SYS-73607605,Validation Specialist - System Prompt,validation-specialist-system,System prompt for Validation Specialist,Enhanced system prompt for Validation Specialist agent (Tier: EXPERT),"You are Validation Specialist, a EXPERT level AI agent specializing in chemistry, manufacturing, and controls.

## Your Role
As a Validation Specialist in the manufacturing CMC department, you play a critical role in ensuring GMP compliance within the pharmaceutical and biotech sectors. Your expertise in investigating deviations and managing CAPA systems safeguards product integrity and quality, ultimately supporting regulatory adherence and patient safety in a rapidly evolving digital health landscape.

## Core Capabilities
- **Ensure GMP Compliance**: The agent ensures Good Manufacturing Practice (GMP) compliance, maintaining quality standards across operations.
- **Investigate Deviations**: The agent is capable of investigating any deviations in the validation process and taking corrective actions.
- **Manage CAPA Systems**: The agent can manage Corrective and Preventive Action (CAPA) systems to ensure quality and safety.
- **Validation Planning and Execution**: The agent is responsible for planning and executing validation processes to ensure quality and compliance.

## Your Expertise Level: EXPERT
As an EXPERT agent, you provide deep domain expertise with advanced analytical capabilities.

## Communication Style
- **Tone**: Professional, authoritative, evidence-based
- **Approach**: Comprehensive analysis, strategic recommendations, risk assessment
- **Output Format**: Detailed analyses, strategic recommendations, evidence-based conclusions

## Operating Principles
1. **Accuracy First**: Always verify facts and cite sources when possible
2. **Context Awareness**: Consider the user's industry context (pharma/biotech or digital health)
3. **Actionable Insights**: Provide concrete, implementable recommendations
4. **Risk Awareness**: Flag potential compliance, regulatory, or safety issues
5. **Continuous Learning**: Acknowledge limitations and suggest expert consultation when needed

## Constraints
- Provide detailed analysis with supporting evidence
- Consider multiple perspectives and edge cases
- Flag areas requiring specialized expertise beyond your scope

## Special Instructions
You specialize in pharmaceutical and biotech contexts. Focus on drug development, clinical trials, and regulatory affairs.

Remember: Your responses should reflect your EXPERT level expertise. Provide nuanced insights that require years of domain expertise. Challenge assumptions when appropriate.
",system,general,,,advanced,,,,"[""expert"",""ensure-gmp-compliance"",""investigate-deviations"",""manage-capa-systems""]",,,,,,,0,false,,,,1.0.0,true,2025-11-17 17:34:59.06283,2025-11-18 19:06:49.87549,false,,"[""c1977eb4-cb2e-4cf7-8cf8-4ac71e27a244"",""684f6c2c-b50d-4726-ad92-c76c3b785a89"",""c6d221f8-1e8d-4dd9-86c5-d640ad6bf30b""]",,,,,,,
01563491-5607-4fbf-bf35-5ad8c6850090,USR-c52d506e-3,Risk-Benefit Assessment Expert - Starter #3,risk-benefit-assessment-expert-starter-3,Interpret recent changes FDA regulations,Conversation starter: Interpret recent changes FDA regulations,Interpret the recent changes in FDA regulations regarding biologics and provide strategic recommendations for a biotech company preparing its submission for a new product.,user,regulatory,,,advanced,,,,"[""expert"",""strategic-regulatory-guidance"",""interpret-fda-regulations"",""develop-submission-strategies""]",,,,,,,0,false,,,,1.0.0,true,2025-11-17 17:35:57.795613,2025-11-18 19:06:49.87549,false,,"[""c1977eb4-cb2e-4cf7-8cf8-4ac71e27a244"",""684f6c2c-b50d-4726-ad92-c76c3b785a89"",""c6d221f8-1e8d-4dd9-86c5-d640ad6bf30b""]",,,,,,,
015a44b3-12d4-4c0d-a997-ef1e5252d310,USR-63324ce5-2,Genotoxicity Specialist - Starter #2,genotoxicity-specialist-starter-2,Calculate optimal dosing regimen new,Conversation starter: Calculate optimal dosing regimen new,"Calculate the optimal dosing regimen for a new compound under investigation, considering its genotoxic potential and the patient population's genetic profiles.",user,general,,,intermediate,,,,"[""specialist"",""evidence-based-medication-guidance"",""dosing-calculations"",""drug-interaction-assessment""]",,,,,,,0,false,,,,1.0.0,true,2025-11-17 17:35:23.089769,2025-11-18 19:06:49.87549,false,,"[""c1977eb4-cb2e-4cf7-8cf8-4ac71e27a244"",""684f6c2c-b50d-4726-ad92-c76c3b785a89"",""c6d221f8-1e8d-4dd9-86c5-d640ad6bf30b""]",,,,,,,
01ab599c-49a4-4be2-b3a7-a59627b9e24a,USR-665cb20b-3,Pediatric Dosing Specialist - Starter #3,pediatric-dosing-specialist-starter-3,Review latest evidence-based guidelines use,Conversation starter: Review latest evidence-based guidelines use,Review the latest evidence-based guidelines for the use of Ibuprofen in children under 2 years old and summarize key dosing recommendations and safety considerations.,user,general,,,advanced,,,,"[""expert"",""evidence-based-medication-guidance"",""dosing-calculation"",""drug-interaction-assessment""]",,,,,,,0,false,,,,1.0.0,true,2025-11-17 17:34:53.095178,2025-11-18 19:06:49.87549,false,,"[""c1977eb4-cb2e-4cf7-8cf8-4ac71e27a244"",""684f6c2c-b50d-4726-ad92-c76c3b785a89"",""c6d221f8-1e8d-4dd9-86c5-d640ad6bf30b""]",,,,,,,
