id,prompt_code,name,slug,prompt_starter,description,detailed_prompt,role_type,category,function,task_type,complexity,pattern_type,system_prompt,user_template,tags,variables,estimated_time_minutes,accuracy_clinical,accuracy_regulatory,user_satisfaction,avg_latency_ms,usage_count,expert_validated,validation_date,validator_name,validator_credentials,version,is_active,created_at,updated_at,rag_enabled,rag_context_sources,allowed_tenants,function_id,function_name,department_id,department_name,role_id,role_name,organization_id
88acb931-7335-4da8-8705-30cdea5a8abe,USR-83137f9a-4,Manufacturing Capacity Planner - Starter #4,manufacturing-capacity-planner-starter-4,Evaluate our existing manufacturing processes,Conversation starter: Evaluate our existing manufacturing processes,Evaluate our existing manufacturing processes to identify bottlenecks and recommend specific changes to enhance production efficiency for our biologics line.,user,general,,,intermediate,,,,"[""specialist"",""production-capacity-planning"",""medication-guidance"",""dosing-calculation""]",,,,,,,0,false,,,,1.0.0,true,2025-11-17 17:35:45.764113,2025-11-18 19:06:49.87549,false,,"[""c1977eb4-cb2e-4cf7-8cf8-4ac71e27a244"",""684f6c2c-b50d-4726-ad92-c76c3b785a89"",""c6d221f8-1e8d-4dd9-86c5-d640ad6bf30b""]",,,,,,,
88c2722d-1434-4890-8a2e-304f61298b33,USR-ddbad674-3,Formulary Access Manager - Starter #3,formulary-access-manager-starter-3,Create checklist managing patient process,Conversation starter: Create checklist managing patient process,"Create a checklist for managing the patient process effectively when introducing a novel therapy into the formulary, ensuring all stakeholders are informed and aligned.",user,general,,,advanced,,,,"[""expert"",""pt-process-management"",""formulary-strategy-development"",""formulary-negotiation-support""]",,,,,,,0,false,,,,1.0.0,true,2025-11-17 17:34:21.15083,2025-11-18 19:06:49.87549,false,,"[""c1977eb4-cb2e-4cf7-8cf8-4ac71e27a244"",""684f6c2c-b50d-4726-ad92-c76c3b785a89"",""c6d221f8-1e8d-4dd9-86c5-d640ad6bf30b""]",,,,,,,
88d16413-a0c9-4771-a4d1-1da508474c07,USR-0f33f069-4,Pricing Analyst - Starter #4,pricing-analyst-starter-4,Conduct comprehensive competitive analysis emerging,Conversation starter: Conduct comprehensive competitive analysis emerging,Conduct a comprehensive competitive analysis on emerging biopharmaceuticals targeting the same therapeutic area as our product. What pricing insights can we leverage to gain a competitive advantage?,user,general,,,intermediate,,,,"[""specialist"",""competitive-analysis"",""elasticity-modeling"",""price-optimization""]",,,,,,,0,false,,,,1.0.0,true,2025-11-17 17:34:24.47241,2025-11-18 19:06:49.87549,false,,"[""c1977eb4-cb2e-4cf7-8cf8-4ac71e27a244"",""684f6c2c-b50d-4726-ad92-c76c3b785a89"",""c6d221f8-1e8d-4dd9-86c5-d640ad6bf30b""]",,,,,,,
88d1f7bb-3e03-463a-a073-e08ca0d98c1a,USR-578b6283-2,Data Visualization Specialist - Starter #2,data-visualization-specialist-starter-2,Develop detailed report using data,Conversation starter: Develop detailed report using data,Develop a detailed report using data visualization techniques to illustrate the potential drug interactions based on the latest clinical trial results for a specific drug class.,user,general,,,intermediate,,,,"[""specialist"",""interactive-dashboard-development"",""evidence-based-medication-guidance"",""dosing-calculation""]",,,,,,,0,false,,,,1.0.0,true,2025-11-17 17:35:37.265928,2025-11-18 19:06:49.87549,false,,"[""c1977eb4-cb2e-4cf7-8cf8-4ac71e27a244"",""684f6c2c-b50d-4726-ad92-c76c3b785a89"",""c6d221f8-1e8d-4dd9-86c5-d640ad6bf30b""]",,,,,,,
88ddbecb-c33e-4b4c-ad30-648307218471,USR-9eacab2d-2,Regulatory Intelligence Analyst - Starter #2,regulatory-intelligence-analyst-starter-2,Develop detailed submission strategy biotech,Conversation starter: Develop detailed submission strategy biotech,"Develop a detailed submission strategy for a biotech firm seeking FDA approval for a novel gene therapy, including timelines and necessary documentation.",user,regulatory,,,advanced,,,,"[""expert"",""strategic-regulatory-guidance"",""interpretation-of-fda-regulations"",""development-of-submission-strategies""]",,,,,,,0,false,,,,1.0.0,true,2025-11-17 17:34:58.318711,2025-11-18 19:06:49.87549,false,,"[""c1977eb4-cb2e-4cf7-8cf8-4ac71e27a244"",""684f6c2c-b50d-4726-ad92-c76c3b785a89"",""c6d221f8-1e8d-4dd9-86c5-d640ad6bf30b""]",,,,,,,
890c198f-aa3c-4312-ac28-bed13828ec43,USR-7af61460-1,Patient-Reported Outcomes Specialist - Starter #1,patient-reported-outcomes-specialist-starter-1,Our New Oncology Trial,Conversation starter: Our New Oncology Trial,"What are the key considerations for developing a patient-reported outcome measure specific to our new oncology trial, and how can we ensure it aligns with regulatory guidelines?",user,clinical,,,advanced,,,,"[""expert"",""pro-instrument-development"",""clinical-protocol-design"",""trial-operations-management""]",,,,,,,0,false,,,,1.0.0,true,2025-11-17 17:35:10.035001,2025-11-18 19:06:49.87549,false,,"[""c1977eb4-cb2e-4cf7-8cf8-4ac71e27a244"",""684f6c2c-b50d-4726-ad92-c76c3b785a89"",""c6d221f8-1e8d-4dd9-86c5-d640ad6bf30b""]",,,,,,,
892d7cc4-9ac7-43ee-a920-c5d2ab8a733d,USR-69a2beda-4,Dosing Calculator - Starter #4,dosing-calculator-starter-4,Generate report summarizing pharmacokinetic parameters,Conversation starter: Generate report summarizing pharmacokinetic parameters,"Generate a report summarizing the pharmacokinetic parameters and recommended dosing for a new biologic drug, including specific patient population considerations.",user,general,,,intermediate,,,,"[""specialist"",""pk-based-dose-calculations"",""drug-interaction-assessment"",""medication-guidance""]",,,,,,,0,false,,,,1.0.0,true,2025-11-17 17:34:56.615887,2025-11-18 19:06:49.87549,false,,"[""c1977eb4-cb2e-4cf7-8cf8-4ac71e27a244"",""684f6c2c-b50d-4726-ad92-c76c3b785a89"",""c6d221f8-1e8d-4dd9-86c5-d640ad6bf30b""]",,,,,,,
8966f030-b592-4ac4-9d88-7fea32fb541e,USR-340d0b8f-1,Clinical Trial Protocol Designer - Starter #1,clinical-trial-protocol-designer-starter-1,Design Phase II clinical trial,Conversation starter: Design Phase II clinical trial,"Design a Phase II clinical trial protocol for a new oncology drug, including objectives, methodology, and endpoint definitions that ensure scientific rigor.",user,clinical,,,advanced,,,,"[""expert"",""clinical-trial-protocol-design"",""study-design-optimization"",""scientific-rigor-ensurance""]",,,,,,,0,false,,,,1.0.0,true,2025-11-17 17:34:49.900874,2025-11-18 19:06:49.87549,false,,"[""c1977eb4-cb2e-4cf7-8cf8-4ac71e27a244"",""684f6c2c-b50d-4726-ad92-c76c3b785a89"",""c6d221f8-1e8d-4dd9-86c5-d640ad6bf30b""]",,,,,,,
89ae085a-ad05-47bb-b8c1-858aa0586262,USR-2fcc283f-4,Regulatory Dossier Architect - Starter #4,regulatory-dossier-architect-starter-4,Identify and explain major regulatory,Conversation starter: Identify and explain major regulatory,"Identify and explain the major regulatory compliance risks for a clinical trial involving a novel biotech product, along with mitigation strategies.",user,regulatory,,,advanced,,,,"[""expert"",""strategic-regulatory-guidance"",""interpret-fda-regulations"",""develop-submission-strategies""]",,,,,,,0,false,,,,1.0.0,true,2025-11-17 17:35:31.595543,2025-11-18 19:06:49.87549,false,,"[""c1977eb4-cb2e-4cf7-8cf8-4ac71e27a244"",""684f6c2c-b50d-4726-ad92-c76c3b785a89"",""c6d221f8-1e8d-4dd9-86c5-d640ad6bf30b""]",,,,,,,
89f7c847-bec4-4e02-bb58-0eff1bfdafa6,USR-54b1b2b8-4,Health Economics Manager - Starter #4,health-economics-manager-starter-4,Evaluate sensitivity our health economic,Conversation starter: Evaluate sensitivity our health economic,"Evaluate the sensitivity of our health economic model for a new cardiovascular drug by varying key parameters such as drug efficacy, treatment adherence rates, and market entry timelines to assess the robustness of our conclusions.",user,market-access,,,advanced,,,,"[""expert"",""cost-effectiveness-modeling"",""budget-impact-analysis"",""economic-value-proposition-development""]",,,,,,,0,false,,,,1.0.0,true,2025-11-17 17:34:16.987626,2025-11-18 19:06:49.87549,false,,"[""c1977eb4-cb2e-4cf7-8cf8-4ac71e27a244"",""684f6c2c-b50d-4726-ad92-c76c3b785a89"",""c6d221f8-1e8d-4dd9-86c5-d640ad6bf30b""]",,,,,,,
