Name,Accuracy Rate,Accuracy_Score,Agent ID,Agent_Code,Agent_ID,Agent_Status,Agent_Type,Avatar,Average_Response_Time_ms,Capabilities,Configuration JSON,Configuration_JSON,Cost_Per_Execution,Created Date,Created_At,Created_By,Data_Classification,Dependencies,Dependencies_JSON,Description,Display_Name,Domain,Domain_Expertise,Error_Handling_Strategy,Export Ready,Export_Format,External ID,GDPR_Compliant,HIPAA_Compliant,Is_Active,Last Modified,Last_Export_Date,Logging_Level,Max_Concurrent_Executions,Max_Tokens,Medical_Specialty,Memory_Limit_MB,Migration Status,Migration_Ready,Model,Orchestration_Priority,Owner,PHARMA_Enabled,Performance Score,Performance_Score,Primary_Model,Priority,RAG_Enabled,Required_Permissions,Response Time,Retry_Count,Schema_Version,Status,Success Rate,Success_Rate,System_Prompt,Task Count,Temperature,Tier,Timeout_Seconds,Total_Executions,Type,Updated_At,Updated_By,VERIFY_Enabled,Validation_Status,Version
Master Orchestrator - ORCH-001,99%,,VP-AGENT--1,,,,,,,,,,,"September 21, 2025 1:55 PM",,,,,,,,Regulatory Affairs,,,No,,ORCH-001,No,No,No,"September 21, 2025 1:55 PM",,,,,,,In Progress,No,GPT-4,,,No,98%,,,,No,,1500,,,Production,99%,,,1,,,,,Orchestrator,,,No,,2.0.0
FDA Regulatory Strategist - REG-001,98%,,VP-AGENT--2,,,,,,,,,,,"September 21, 2025 1:58 PM",,,,,,,,Regulatory Affairs,,,No,,REG-001,No,No,No,"September 21, 2025 1:58 PM",,,,,,,In Progress,No,GPT-4,,,No,97%,,,,No,,3000,,,Production,99%,,,100,,,,,Regulatory Expert,,,No,,2.0.0
Clinical Trial Designer - CLIN-001,96%,,VP-AGENT--3,,,,,,,,,,,"September 21, 2025 1:58 PM",,,,,,,,Clinical Trials,,,No,,CLIN-001,No,No,No,"September 21, 2025 1:58 PM",,,,,,,In Progress,No,GPT-4,,,No,95%,,,,No,,2800,,,Production,98%,,,110,,,,,Clinical Specialist,,,No,,2.0.0
Regulatory Intelligence Expert - REG-002,98%,,VP-AGENT--5,,,,,,,,,,,"September 21, 2025 1:58 PM",,,,,,,,Regulatory Affairs,,,No,,REG-002,No,No,No,"September 21, 2025 1:58 PM",,,,,,,In Progress,No,GPT-4,,,No,97%,,,,No,,2200,,,Production,99%,,,90,,,,,Regulatory Expert,,,No,,2.0.0
HIPAA Compliance Officer - COMP-001,99%,,VP-AGENT--4,,,,,,,,,,,"September 21, 2025 1:58 PM",,,,,,,,Regulatory Affairs,,,No,,COMP-001,No,No,No,"September 21, 2025 1:58 PM",,,,,,,In Progress,No,GPT-4,,,No,98%,,,,No,,2000,,,Production,99%,,,105,,,,,Regulatory Expert,,,No,,2.0.0
Safety & Surveillance Monitor - SAFE-001,97%,,VP-AGENT--6,,,,,,,,,,,"September 21, 2025 1:58 PM",,,,,,,,Drug Safety,,,No,,SAFE-001,No,No,No,"September 21, 2025 1:58 PM",,,,,,,In Progress,No,GPT-4,,,No,96%,,,,No,,2400,,,Production,99%,,,80,,,,,Safety Monitor,,,No,,2.0.0
Compliance Auditor Agent - COMP-002,97%,,VP-AGENT--8,,,,,,,,,,,"September 21, 2025 1:58 PM",,,,,,,,Regulatory Affairs,,,No,,COMP-002,No,No,No,"September 21, 2025 1:58 PM",,,,,,,In Progress,No,GPT-4,,,No,96%,,,,No,,2100,,,Production,99%,,,130,,,,,Regulatory Expert,,,No,,2.0.0
Quality Systems Expert - QA-001,96%,,VP-AGENT--7,,,,,,,,,,,"September 21, 2025 1:58 PM",,,,,,,,Regulatory Affairs,,,No,,QA-001,No,No,No,"September 21, 2025 1:58 PM",,,,,,,In Progress,No,GPT-4,,,No,95%,,,,No,,2300,,,Production,99%,,,120,,,,,Quality Checker,,,No,,2.0.0
Synthesis PHARMA Agent - SYNTH-001,98%,,VP-AGENT--9,,,,,,,,,,,"September 21, 2025 1:58 PM",,,,,,,,Regulatory Affairs,,,No,,SYNTH-001,No,No,No,"September 21, 2025 1:58 PM",,,,,,,In Progress,No,GPT-4,,,No,97%,,,,No,,1800,,,Production,99%,,,10,,,,,Quality Checker,,,No,,2.0.0
Medical Writing Specialist - MED-001,94%,,VP-AGENT--10,,,,,,,,,,,"September 21, 2025 1:58 PM",,,,,,,,Medical Literature,,,No,,MED-001,No,No,No,"September 21, 2025 1:58 PM",,,,,,,In Progress,No,GPT-4,,,No,95%,,,,No,,2500,,,Production,98%,,,220,,,,,Research Analyst,,,No,,2.0.0
